鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北區,房地(土地+建物),臺南市北區臨安路二段５３號四樓之３,6.23,住,,,1150705,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0821119,57.61,1,1,1,有,有,3250000,56414,,0.0,0,,RPVQMLQJPHLGFAD98DA,39.05,0.0,0.0,有,
北區,房地(土地+建物),臺南市北區開元路４８５巷４１弄１２號二樓之２,7.97,商,,,1150701,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891120,73.28,2,1,1,有,有,5350000,73008,,0.0,0,,RPUNMLTJPHLGFAD88DA,53.92,0.0,3.4,有,001
新營區,房地(土地+建物),臺南市新營區民生路３０之２號,52.62,商,,,1150702,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0670527,110.56,4,2,1,有,無,3500000,31657,,0.0,0,,RPQNMLKKPHLGFDD97DA,110.56,0.0,0.0,無,
大內區,土地,頭社段334-1地號,238.0,,鄉村區,乙種建築用地,1150703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3380000,14202,,0.0,0,,RPQNMLSJPHLGFFD88DA,0.0,0.0,0.0,無,
山上區,土地,玉二段1041地號,284.65,都市：其他:道路用地,,,1150702,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2519153,8850,,0.0,0,包含公共設施保留地用地；,RPUOMLTJPHLGFHD07DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺南市東區崇德二十一街６７號五樓之２,27.56,住,,,1150706,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800517,129.03,3,2,2,有,無,7500000,58126,坡道平面,0.0,0,車位僅有使用權,RPPNMLKKPHLGFCD77DA,81.81,0.0,14.97,有,
東山區,土地,許秀才段1987地號,1600.0,,特定農業區,農牧用地,1150702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,1000,,0.0,0,,RPQNMLNKPHLGFED38DA,0.0,0.0,0.0,無,
佳里區,房地(土地+建物),臺南市佳里區進學路２５０巷１５號二樓,64.99,住,,,1150704,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720810,98.65,3,2,2,有,無,1800000,18246,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；含租約；,RPPNMLKKPHLGFGD18DA,82.69,0.0,14.29,無,
新市區,土地,大榮段511地號,111.61,住,,,1150703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5739421,51424,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKKPHLGFHD58DA,0.0,0.0,0.0,無,
永康區,土地,兵北段24地號,90.45,都市：其他:道路用地,,,1150704,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,8845,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPNMLRJPHLGFKD56DA,0.0,0.0,0.0,無,
新營區,房地(土地+建物),臺南市新營區大同路３０之３２號,12.19,住,,,1150702,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811015,84.94,3,2,2,有,有,3700000,43560,,0.0,0,陽台外推；其他增建；,RPPNMLNKPHLGFDD18DA,45.72,0.0,17.27,有,
學甲區,土地,中洲南段730地號,31.53,,特定農業區,甲種建築用地,1150706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,123110,3905,,0.0,0,,RPSNMLQJPHLGFGD98DA,0.0,0.0,0.0,無,
