鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永康區,房地(土地+建物)+車位,臺南市永康區永大路三段469巷,81.2,住,,,1150621,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,177.22,4,2,4,有,無,21680000,122334,一樓平面,0.0,0,,RPPNMLPLOHLGFKD09CB,上賦大苑,A棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,24.44,商,,,1150621,土地2建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.1,3,2,3,有,無,39700000,204777,坡道平面,25.73,2150000,,RPQNMLQLOHLGFCD48CB,國城?實,E棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,8.81,商,,,1150621,土地2建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.57,2,2,1,有,無,15280000,197187,坡道平面,25.73,2100000,,RPSNMLQLOHLGFCD68CB,國城?實,E棟7號,
新營區,房地(土地+建物)+車位,臺南市新營區公園路,36.68,住,,,1150624,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.04,3,1,2,有,無,11600000,92558,一樓平面,17.46,1550000,,RPPNMLQLOHLGFDD58DB,新東皇邸26期,A棟2A1號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,25.73,住,,,1150623,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.55,3,2,2,有,無,13850000,103754,坡道平面,28.41,1800000,,RPPNMLRLOHLGFHD98CB,佳鋐科匯,A1棟0號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,18.19,住,,,1150623,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.57,2,2,2,有,無,10660000,107615,坡道平面,27.31,1700000,,RPQNMLRLOHLGFHD09CB,佳鋐科匯,B3棟0號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,86.29,住,,,1150627,土地5建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,181.98,4,2,4,有,無,22620000,124299,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-14地號，價格8萬。,RPPNMLTLOHLGFID66CB,森樂章,A棟3號,
新營區,房地(土地+建物),臺南市新營區金華路一段及三興街交叉口,17.15,住,,,1150622,土地2建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.95,2,2,2,有,無,7800000,83916,,0.0,0,,RPQNMLKMOHLGFDD08CB,佳順 ? 大悅,A3棟1號,
中西區,房地(土地+建物)+車位,臺南市中西區金華新路和大涼路交叉口,14.66,其他,,,1150621,土地3建物1車位1,六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.87,3,2,2,有,無,23450000,128342,坡道平面,24.79,1750000,,RPPNMLLJPHLGFAD57CB,百慶擎川,A棟A1-6F號,
